month,game_id,title,used_sale_price,buyback_price,source_name,source_url,note
2026-06,game-001,ゼルダの伝説 ブレス オブ ザ ワイルド,4730,3700,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-002,ゼルダの伝説 ティアーズ オブ ザ キングダム,7080,2700,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-003,マリオカート8 デラックス,3590,3000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-004,大乱闘スマッシュブラザーズ SPECIAL,5798,4000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-005,スーパーマリオ オデッセイ,4560,3000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-006,スーパーマリオ 3Dコレクション,7390,5000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-007,New スーパーマリオブラザーズ U デラックス,4370,3000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-008,スーパーマリオ 3Dワールド + フューリーワールド,4740,2300,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-009,あつまれ どうぶつの森,4450,3800,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-010,スプラトゥーン3,4900,2800,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-011,スプラトゥーン2,730,350,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-012,ポケットモンスター ソード,3200,2200,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-013,ポケットモンスター シールド,3000,1800,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-014,ポケットモンスター ブリリアントダイヤモンド,2280,1000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-015,ポケットモンスター シャイニングパール,2898,1000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-016,ポケットモンスター スカーレット,3300,2000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-017,ポケットモンスター バイオレット,2960,1400,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-018,Pokemon LEGENDS アルセウス,3380,1700,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-019,Xenoblade Definitive Edition,5300,2800,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-020,Xenoblade2,6700,3000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-021,Xenoblade3,3798,2000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-022,Fire Emblem 風花雪月,3980,3700,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-023,Fire Emblem Engage,5300,2500,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-024,ドラゴンクエストビルダーズ2,3300,2200,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-025,ドラゴンクエストモンスターズ3 魔族の王子とエルフの旅,3270,1000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-026,オクトパストラベラー,3140,2200,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-027,オクトパストラベラーII,4400,3500,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-028,メトロイド ドレッド,5770,2000,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-029,桃太郎電鉄 昭和 平成 令和も定番！,2850,3200,駿河屋,https://www.suruga-ya.jp/,基準月
2026-06,game-030,桃太郎電鉄ワールド 地球は希望でまわってる！,3980,3000,駿河屋,https://www.suruga-ya.jp/,基準月
